"band_id","member_uri","name","current_member","member_id"
330,"  http://dbpedia.org/resource/Johnny_Cunningham  ","  Johnny Cunningham   ",True,5444
330,"  http://dbpedia.org/resource/Tríona_Ní_Dhomhnaill  ","  Tríona Ní Dhomhnaill   ",True,11090
330,"  http://dbpedia.org/resource/Brian_Dunning_(flautist)  ","  Brian Dunning   ",True,1292
330,"  http://dbpedia.org/resource/Billy_Oskay  ","  Billy Oskay   ",True,1016
331,"  http://dbpedia.org/resource/Mick_Barr  ","  Mick Barr   ",True,7507
333,"  http://dbpedia.org/resource/Brendon_Urie  ","  Brendon Urie   ",True,1252
333,"  http://dbpedia.org/resource/Dallon_Weekes  ","  Dallon Weekes   ",True,2172
336,"  http://dbpedia.org/resource/Tim_Cohen  ","  Tim Cohen   ",True,10711
336,"  http://dbpedia.org/resource/Shayde_Sartin  ","  Shayde Sartin   ",True,9876
337,"  http://dbpedia.org/resource/Travie_McCoy  ","  Travie McCoy   ",True,11057
337,"  http://dbpedia.org/resource/Matt_McGinley  ","  Matt McGinley   ",True,7239
339,"  http://dbpedia.org/resource/Johnny_Rod  ","  Johnny Rod   ",True,5472
339,"  http://dbpedia.org/resource/Mick_Sweda  ","  Mick Sweda   ",True,7543
339,"  http://dbpedia.org/resource/Dave_Henzerling  ","  Dave Henzerling   ",True,2439
339,"  http://dbpedia.org/resource/Carmine_Appice  ","  Carmine Appice   ",True,1535
339,"  http://dbpedia.org/resource/Paul_Shortino  ","  Paul Shortino   ",True,8451
340,"  http://dbpedia.org/resource/Paul_Meany  ","  Paul Meany   ",True,8423
340,"  http://dbpedia.org/resource/Darren_King  ","  Darren King   ",True,2367
340,"  http://dbpedia.org/resource/Roy_Mitchell-Cárdenas  ","  Roy Mitchell-Cárdenas   ",True,9441
343,"  http://dbpedia.org/resource/Ayaka_Nishiwaki  ","  西脇 綾香   ",True,746
343,"  http://dbpedia.org/resource/Ayaka_Nishiwaki  ","  Ayaka Nishiwaki   ",True,746
343,"  http://dbpedia.org/resource/Ayano_Ōmoto  ","  Ayano Ōmoto   ",True,750
343,"  http://dbpedia.org/resource/Yuka_Kashino  ","  Yuka Kashino   ",True,11477
350,"  http://dbpedia.org/resource/Piotr_Rogucki  ","  Piotr Rogucki   ",True,8750
351,"  http://dbpedia.org/resource/Benjamin_Sotto  ","  Benjamin Sotto   ",True,845
354,"  http://dbpedia.org/resource/Frazey_Ford  ","  Frazey Ford   ",True,3505
355,"  http://dbpedia.org/resource/Rosendo_Mercado  ","  Rosendo Mercado   ",True,9409
355,"  http://dbpedia.org/resource/Rosendo_Mercado  ","  Rosendo   ",True,9409
357,"  http://dbpedia.org/resource/Ben_Ottewell  ","  Ben Ottewell   ",True,877
357,"  http://dbpedia.org/resource/Ian_Ball  ","  Ian Ball   ",True,4240
360,"  http://dbpedia.org/resource/Tommy_Giles_Rogers,_Jr.  ","  Tommy Giles Rogers, Jr.   ",True,10892
360,"  http://dbpedia.org/resource/Tommy_Giles_Rogers,_Jr.  ","  Tommy Giles Rogers   ",True,10892
360,"  http://dbpedia.org/resource/Dan_Briggs_(musician)  ","  Dan Briggs   ",True,2209
360,"  http://dbpedia.org/resource/Dustie_Waring  ","  Dustie Waring   ",True,3065
